MovieIdsNew,movieId,title,genres
71,110,Braveheart (1995),Action|Drama|War
72,111,Taxi Driver (1976),Crime|Drama|Thriller
73,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
74,122,Boomerang (1992),Comedy|Romance
75,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
76,125,Flirting With Disaster (1996),Comedy
77,132,Jade (1995),Thriller
78,135,Down Periscope (1996),Comedy
79,140,Up Close and Personal (1996),Drama|Romance
80,141,"Birdcage, The (1996)",Comedy
81,144,"Brothers McMullen, The (1995)",Comedy
82,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
83,147,"Basketball Diaries, The (1995)",Drama
84,150,Apollo 13 (1995),Adventure|Drama|IMAX
85,151,Rob Roy (1995),Action|Drama|Romance|War
86,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
87,154,Beauty of the Day (Belle de jour) (1967),Drama
88,157,Canadian Bacon (1995),Comedy|War
89,158,Casper (1995),Adventure|Children
90,159,Clockers (1995),Crime|Drama|Mystery
91,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
92,161,Crimson Tide (1995),Drama|Thriller|War
93,162,Crumb (1994),Documentary
94,163,Desperado (1995),Action|Romance|Western
95,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
96,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
97,168,First Knight (1995),Action|Drama|Romance
98,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
99,170,Hackers (1995),Action|Adventure|Crime|Thriller
100,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
101,173,Judge Dredd (1995),Action|Crime|Sci-Fi
102,174,Jury Duty (1995),Comedy
103,175,Kids (1995),Drama
104,176,Living in Oblivion (1995),Comedy
105,177,Lord of Illusions (1995),Horror
106,180,Mallrats (1995),Comedy|Romance
107,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
108,185,"Net, The (1995)",Action|Crime|Thriller
109,186,Nine Months (1995),Comedy|Romance
110,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
111,193,Showgirls (1995),Drama
112,194,Smoke (1995),Comedy|Drama
113,195,Something to Talk About (1995),Comedy|Drama|Romance
114,196,Species (1995),Horror|Sci-Fi
115,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
116,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
117,204,Under Siege 2: Dark Territory (1995),Action
118,207,"Walk in the Clouds, A (1995)",Drama|Romance
119,208,Waterworld (1995),Action|Adventure|Sci-Fi
120,215,Before Sunrise (1995),Drama|Romance
121,216,Billy Madison (1995),Comedy
122,218,Boys on the Side (1995),Comedy|Drama
123,222,Circle of Friends (1995),Drama|Romance
124,223,Clerks (1994),Comedy
125,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
126,225,Disclosure (1994),Drama|Thriller
127,227,Drop Zone (1994),Action|Thriller
128,229,Death and the Maiden (1994),Drama|Thriller
129,230,Dolores Claiborne (1995),Drama|Thriller
130,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
131,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
132,233,Exotica (1994),Drama
133,234,Exit to Eden (1994),Comedy
134,235,Ed Wood (1994),Comedy|Drama
135,236,French Kiss (1995),Action|Comedy|Romance
136,237,Forget Paris (1995),Comedy|Romance
137,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
138,246,Hoop Dreams (1994),Documentary
139,247,Heavenly Creatures (1994),Crime|Drama
140,248,Houseguest (1994),Comedy
141,249,Immortal Beloved (1994),Drama|Romance
142,252,I.Q. (1994),Comedy|Romance
143,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
144,256,Junior (1994),Comedy|Sci-Fi
145,257,Just Cause (1995),Mystery|Thriller
146,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
147,261,Little Women (1994),Drama
148,262,"Little Princess, A (1995)",Children|Drama
149,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
150,266,Legends of the Fall (1994),Drama|Romance|War|Western
151,267,Major Payne (1995),Comedy
152,272,"Madness of King George, The (1994)",Comedy|Drama
153,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
154,276,Milk Money (1994),Comedy|Romance
155,277,Miracle on 34th Street (1994),Drama
156,280,Murder in the First (1995),Drama|Thriller
157,281,Nobody's Fool (1994),Comedy|Drama|Romance
158,282,Nell (1994),Drama
159,288,Natural Born Killers (1994),Action|Crime|Thriller
160,289,Only You (1994),Comedy|Romance
161,290,Once Were Warriors (1994),Crime|Drama
162,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
163,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
164,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
165,299,Priest (1994),Drama
166,300,Quiz Show (1994),Drama
167,303,"Quick and the Dead, The (1995)",Action|Thriller|Western
168,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
169,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
170,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
171,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
172,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
173,315,"Specialist, The (1994)",Action|Drama|Thriller
174,316,Stargate (1994),Action|Adventure|Sci-Fi
175,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
176,318,"Shawshank Redemption, The (1994)",Crime|Drama
177,319,Shallow Grave (1994),Comedy|Drama|Thriller
178,322,Swimming with Sharks (1995),Comedy|Drama
179,327,Tank Girl (1995),Action|Comedy|Sci-Fi
180,328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
181,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
182,332,Village of the Damned (1995),Horror|Sci-Fi
183,333,Tommy Boy (1995),Comedy
184,337,What's Eating Gilbert Grape (1993),Drama
185,338,Virtuosity (1995),Action|Sci-Fi|Thriller
186,339,While You Were Sleeping (1995),Comedy|Romance
187,342,Muriel's Wedding (1994),Comedy
188,344,Ace Ventura: Pet Detective (1994),Comedy
189,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
190,348,Bullets Over Broadway (1994),Comedy
191,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
192,350,"Client, The (1994)",Drama|Mystery|Thriller
193,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
194,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
195,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
196,356,Forrest Gump (1994),Comedy|Drama|Romance|War
197,357,Four Weddings and a Funeral (1994),Comedy|Romance
198,358,Higher Learning (1995),Drama
199,360,I Love Trouble (1994),Action|Comedy
200,361,It Could Happen to You (1994),Comedy|Drama|Romance
201,362,"Jungle Book, The (1994)",Adventure|Children|Romance
202,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
203,365,Little Buddha (1993),Drama
204,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
205,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
206,368,Maverick (1994),Adventure|Comedy|Western
207,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
208,371,"Paper, The (1994)",Comedy|Drama
209,372,Reality Bites (1994),Comedy|Drama|Romance
210,373,Red Rock West (1992),Thriller
211,374,Richie Rich (1994),Children|Comedy
212,376,"River Wild, The (1994)",Action|Thriller
213,377,Speed (1994),Action|Romance|Thriller
214,378,Speechless (1994),Comedy|Romance
215,379,Timecop (1994),Action|Sci-Fi|Thriller
216,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
217,381,When a Man Loves a Woman (1994),Drama|Romance
218,382,Wolf (1994),Drama|Horror|Romance|Thriller
219,383,Wyatt Earp (1994),Western
220,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
221,410,Addams Family Values (1993),Children|Comedy|Fantasy
222,412,"Age of Innocence, The (1993)",Drama
223,413,Airheads (1994),Comedy
224,415,Another Stakeout (1993),Comedy|Thriller
225,417,Barcelona (1994),Comedy|Romance
226,419,"Beverly Hillbillies, The (1993)",Comedy
227,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
228,423,Blown Away (1994),Action|Thriller
229,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
230,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
231,428,"Bronx Tale, A (1993)",Drama
232,431,Carlito's Way (1993),Crime|Drama
233,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
234,434,Cliffhanger (1993),Action|Adventure|Thriller
235,435,Coneheads (1993),Comedy|Sci-Fi
236,440,Dave (1993),Comedy|Romance
237,441,Dazed and Confused (1993),Comedy
238,442,Demolition Man (1993),Action|Adventure|Sci-Fi
239,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
240,448,Fearless (1993),Drama
241,450,With Honors (1994),Comedy|Drama
242,454,"Firm, The (1993)",Drama|Thriller
243,455,Free Willy (1993),Adventure|Children|Drama
244,457,"Fugitive, The (1993)",Thriller
245,464,Hard Target (1993),Action|Adventure|Crime|Thriller
246,466,Hot Shots! Part Deux (1993),Action|Comedy|War
247,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
248,471,"Hudsucker Proxy, The (1994)",Comedy
249,474,In the Line of Fire (1993),Action|Thriller
250,475,In the Name of the Father (1993),Drama
251,477,What's Love Got to Do with It? (1993),Drama|Musical
252,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
253,481,Kalifornia (1993),Drama|Thriller
254,482,Killing Zoe (1994),Crime|Drama|Thriller
255,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
256,489,Made in America (1993),Comedy
257,490,Malice (1993),Thriller
258,491,"Man Without a Face, The (1993)",Drama
259,492,Manhattan Murder Mystery (1993),Comedy|Mystery
260,493,Menace II Society (1993),Action|Crime|Drama
261,494,Executive Decision (1996),Action|Adventure|Thriller
262,497,Much Ado About Nothing (1993),Comedy|Romance
263,500,Mrs. Doubtfire (1993),Comedy|Drama
264,501,Naked (1993),Drama
265,502,"Next Karate Kid, The (1994)",Action|Children|Romance
266,507,"Perfect World, A (1993)",Crime|Drama|Thriller
267,508,Philadelphia (1993),Drama
268,509,"Piano, The (1993)",Drama|Romance
269,514,"Ref, The (1994)",Comedy
270,515,"Remains of the Day, The (1993)",Drama|Romance
271,516,Renaissance Man (1994),Comedy|Drama
272,517,Rising Sun (1993),Action|Drama|Mystery
273,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
274,520,Robin Hood: Men in Tights (1993),Comedy
275,521,Romeo Is Bleeding (1993),Crime|Thriller
276,524,Rudy (1993),Drama
277,527,Schindler's List (1993),Drama|War
278,529,Searching for Bobby Fischer (1993),Drama
279,531,"Secret Garden, The (1993)",Children|Drama
280,532,Serial Mom (1994),Comedy|Crime|Horror
281,533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
282,534,Shadowlands (1993),Drama|Romance
283,535,Short Cuts (1993),Drama
284,537,Sirens (1994),Drama
285,538,Six Degrees of Separation (1993),Drama
286,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
287,540,Sliver (1993),Thriller
288,541,Blade Runner (1982),Action|Sci-Fi|Thriller
289,542,Son in Law (1993),Comedy|Drama|Romance
290,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
291,544,Striking Distance (1993),Action|Crime
292,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
293,548,Terminal Velocity (1994),Action|Mystery|Thriller
294,550,Threesome (1994),Comedy|Romance
295,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
296,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
297,553,Tombstone (1993),Action|Drama|Western
298,555,True Romance (1993),Crime|Thriller
299,562,Welcome to the Dollhouse (1995),Comedy|Drama
300,575,"Little Rascals, The (1994)",Children|Comedy
301,581,"Celluloid Closet, The (1995)",Documentary
302,585,"Brady Bunch Movie, The (1995)",Comedy
303,586,Home Alone (1990),Children|Comedy
304,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
305,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
306,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
307,590,Dances with Wolves (1990),Adventure|Drama|Western
308,592,Batman (1989),Action|Crime|Thriller
309,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
310,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
311,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
312,596,Pinocchio (1940),Animation|Children|Fantasy|Musical
313,597,Pretty Woman (1990),Comedy|Romance
314,599,"Wild Bunch, The (1969)",Adventure|Western
315,605,One Fine Day (1996),Drama|Romance
316,608,Fargo (1996),Comedy|Crime|Drama|Thriller
317,609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
318,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
319,613,Jane Eyre (1996),Drama|Romance
320,616,"Aristocats, The (1970)",Animation|Children
321,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
322,637,Sgt. Bilko (1996),Comedy
323,640,Diabolique (1996),Drama|Thriller
324,647,Courage Under Fire (1996),Action|Crime|Drama|War
325,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
326,653,Dragonheart (1996),Action|Adventure|Fantasy
327,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
328,662,Fear (1996),Thriller
329,663,Kids in the Hall: Brain Candy (1996),Comedy
330,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
331,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
332,674,Barbarella (1968),Adventure|Comedy|Sci-Fi
333,678,Some Folks Call It a Sling Blade (1993),Drama|Thriller
334,688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
335,694,"Substitute, The (1996)",Action|Crime|Drama
336,707,Mulholland Falls (1996),Crime|Drama|Thriller
337,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
338,709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
339,714,Dead Man (1995),Drama|Mystery|Western
340,719,Multiplicity (1996),Comedy
341,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
342,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
343,728,Cold Comfort Farm (1995),Comedy
344,733,"Rock, The (1996)",Action|Adventure|Thriller
345,736,Twister (1996),Action|Adventure|Romance|Thriller
346,737,Barb Wire (1996),Action|Sci-Fi
347,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
348,743,Spy Hard (1996),Comedy
349,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
350,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
351,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
352,761,"Phantom, The (1996)",Action|Adventure
353,762,Striptease (1996),Comedy|Crime
354,765,Jack (1996),Comedy|Drama
355,778,Trainspotting (1996),Comedy|Crime|Drama
356,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
357,781,Stealing Beauty (1996),Drama
358,782,"Fan, The (1996)",Drama|Thriller
359,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
360,784,"Cable Guy, The (1996)",Comedy|Thriller
361,785,Kingpin (1996),Comedy
362,786,Eraser (1996),Action|Drama|Thriller
363,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
364,798,Daylight (1996),Action|Adventure|Drama|Thriller
365,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
366,800,Lone Star (1996),Drama|Mystery|Western
367,802,Phenomenon (1996),Drama|Romance
368,804,She's the One (1996),Comedy|Romance
369,805,"Time to Kill, A (1996)",Drama|Thriller
370,818,"Very Brady Sequel, A (1996)",Comedy
371,829,Joe's Apartment (1996),Comedy|Fantasy|Musical
372,830,"First Wives Club, The (1996)",Comedy
373,832,Ransom (1996),Crime|Thriller
374,836,Chain Reaction (1996),Action|Adventure|Thriller
375,837,Matilda (1996),Children|Comedy|Fantasy
376,838,Emma (1996),Comedy|Drama|Romance
377,839,"Crow: City of Angels, The (1996)",Action|Thriller
378,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
379,852,Tin Cup (1996),Comedy|Drama|Romance
380,858,"Godfather, The (1972)",Crime|Drama
381,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Action|Comedy|Crime|Thriller
382,866,Bound (1996),Crime|Drama|Romance|Thriller
383,879,"Relic, The (1997)",Horror|Thriller
384,880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
385,891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),Horror|Thriller
386,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
387,899,Singin' in the Rain (1952),Comedy|Musical|Romance
388,900,"American in Paris, An (1951)",Musical|Romance
389,902,Breakfast at Tiffany's (1961),Drama|Romance
390,903,Vertigo (1958),Drama|Mystery|Romance|Thriller
391,904,Rear Window (1954),Mystery|Thriller
392,905,It Happened One Night (1934),Comedy|Romance
393,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
394,909,"Apartment, The (1960)",Comedy|Drama|Romance
395,910,Some Like It Hot (1959),Comedy|Crime
396,911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
397,912,Casablanca (1942),Drama|Romance
398,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
399,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
400,915,Sabrina (1954),Comedy|Romance
401,916,Roman Holiday (1953),Comedy|Drama|Romance
402,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
403,920,Gone with the Wind (1939),Drama|Romance|War
404,921,My Favorite Year (1982),Comedy
405,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
406,923,Citizen Kane (1941),Drama|Mystery
407,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
408,926,All About Eve (1950),Drama
409,928,Rebecca (1940),Drama|Mystery|Romance|Thriller
410,930,Notorious (1946),Film-Noir|Romance|Thriller
411,931,Spellbound (1945),Mystery|Romance|Thriller
412,932,"Affair to Remember, An (1957)",Drama|Romance
413,933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
414,934,Father of the Bride (1950),Comedy
415,940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
416,942,Laura (1944),Crime|Film-Noir|Mystery
417,945,Top Hat (1935),Comedy|Musical|Romance
418,949,East of Eden (1955),Drama
419,950,"Thin Man, The (1934)",Comedy|Crime
420,951,His Girl Friday (1940),Comedy|Romance
421,952,Around the World in 80 Days (1956),Adventure|Comedy
422,953,It's a Wonderful Life (1946),Drama|Fantasy|Romance
423,954,Mr. Smith Goes to Washington (1939),Drama
424,955,Bringing Up Baby (1938),Comedy|Romance
425,965,"39 Steps, The (1935)",Drama|Mystery|Thriller
426,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
427,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
428,971,Cat on a Hot Tin Roof (1958),Drama
429,986,Fly Away Home (1996),Adventure|Children
430,991,Michael Collins (1996),Drama
431,994,Big Night (1996),Comedy|Drama
432,996,Last Man Standing (1996),Action|Crime|Drama|Thriller
433,999,2 Days in the Valley (1996),Crime|Film-Noir
434,1009,Escape to Witch Mountain (1975),Adventure|Children|Fantasy
435,1010,"Love Bug, The (1969)",Children|Comedy
436,1012,Old Yeller (1957),Children|Drama
437,1013,"Parent Trap, The (1961)",Children|Comedy|Romance
438,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama
439,1017,Swiss Family Robinson (1960),Adventure|Children
440,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
441,1020,Cool Runnings (1993),Comedy
442,1021,Angels in the Outfield (1994),Children|Comedy
443,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
444,1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
445,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
446,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
447,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
448,1029,Dumbo (1941),Animation|Children|Drama|Musical
449,1030,Pete's Dragon (1977),Adventure|Animation|Children|Musical
450,1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
451,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
452,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
453,1035,"Sound of Music, The (1965)",Musical|Romance
454,1036,Die Hard (1988),Action|Crime|Thriller
455,1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
456,1041,Secrets & Lies (1996),Drama
457,1042,That Thing You Do! (1996),Comedy|Drama
458,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
459,1049,"Ghost and the Darkness, The (1996)",Action|Adventure
460,1057,Everyone Says I Love You (1996),Comedy|Musical|Romance
461,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
462,1060,Swingers (1996),Comedy|Drama
463,1061,Sleepers (1996),Thriller
464,1064,Aladdin and the King of Thieves (1996),Animation|Children|Comedy|Fantasy|Musical|Romance
465,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
466,1077,Sleeper (1973),Comedy|Sci-Fi
467,1078,Bananas (1971),Comedy|War
468,1079,"Fish Called Wanda, A (1988)",Comedy|Crime
469,1080,Monty Python's Life of Brian (1979),Comedy
470,1081,Victor/Victoria (1982),Comedy|Musical|Romance
471,1082,"Candidate, The (1972)",Drama
472,1084,Bonnie and Clyde (1967),Crime|Drama
473,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
474,1088,Dirty Dancing (1987),Drama|Musical|Romance
475,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
476,1090,Platoon (1986),Drama|War
477,1091,Weekend at Bernie's (1989),Comedy
478,1092,Basic Instinct (1992),Crime|Mystery|Thriller
479,1093,"Doors, The (1991)",Drama
480,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
481,1095,Glengarry Glen Ross (1992),Drama
482,1096,Sophie's Choice (1982),Drama
483,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
484,1100,Days of Thunder (1990),Action|Drama|Romance
485,1101,Top Gun (1986),Action|Romance
486,1103,Rebel Without a Cause (1955),Drama
487,1104,"Streetcar Named Desire, A (1951)",Drama
488,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary
489,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
490,1124,On Golden Pond (1981),Drama
491,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime
492,1126,Drop Dead Fred (1991),Comedy|Fantasy
493,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
494,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
495,1131,Jean de Florette (1986),Drama|Mystery
496,1132,Manon of the Spring (Manon des sources) (1986),Drama
497,1135,Private Benjamin (1980),Comedy
